Generator,Test,mean_p,std_p
C++ mt19937,Block Frequency,0.5381652701896832,0.3031910248829335
C++ mt19937,Monobit,0.48940770014605883,0.26006423042239873
C++ mt19937,Runs,0.43774632030451527,0.28095666903299443
C++ random_device,Block Frequency,0.48980301810140303,0.2967821952427508
C++ random_device,Monobit,0.51727400991576,0.2868280774090101
C++ random_device,Runs,0.4844365250103078,0.2916488073292783
Python mt19937,Block Frequency,0.552868741937523,0.29939403900680467
Python mt19937,Monobit,0.5040833772211145,0.28478369611367904
Python mt19937,Runs,0.5029523056863947,0.29240050560689484
Python os.urandom,Block Frequency,0.48516809865044275,0.3061722262280874
Python os.urandom,Monobit,0.41796719241369085,0.2861623818940407
Python os.urandom,Runs,0.5057810179649764,0.29185059567476795
